date,hour,type,1141A,1142A,1143A,1144A,1145A,1146A,1147A,1148A,1149A,1150A,1151A,1152A,1153A,1154A,1155A,1156A,1157A,1158A,1159A,1160A,1161A,1162A,1163A,1164A,1165A,1166A,1167A,1168A,1169A,1170A,1171A,1172A,1173A,1174A,1175A,1176A,1177A,1178A,1179A,1180A,1181A,1182A,1183A,1184A,1185A,1186A,1187A,1188A,1189A,1190A,1191A,1192A,1193A,1194A,1195A,1196A,1197A,1198A,1199A,1200A,1201A,1202A,1203A,1204A,1205A,1206A,1207A,1208A,1209A,1210A,1211A,1212A,1213A,1214A,1215A,1216A,1217A,1218A,1219A,1220A,1221A,1222A,1223A,1224A,1225A,1226A,1227A,1228A,1229A,1230A,1231A,1232A,1233A,1234A,1235A,1236A,1237A,1238A,1239A,1240A,1241A,1242A,1243A,1244A,1245A,1246A,1247A,1248A,1249A,1250A,1251A,1252A,1253A,1254A,1255A,1256A,1257A,1258A,1259A,1260A,1261A,1262A,1263A,1264A,1265A,1266A,1267A,1268A,1269A
20250211,0,AQI,48,50,53,,,,51,42,45,50,54,62,58,53,58,58,67,70,56,,,54,58,54,57,60,54,52,55,58,39,43,67,,,,85,,,82,93,78,,,,80,,44,52,51,42,44,52,42,52,59,,,,53,65,,75,78,79,83,92,,98,93,85,92,90,,48,49,,60,,119,107,,68,75,,65,62,67,,60,52,69,63,29,29,36,,,26,33,33,50,45,43,42,,58,,,60,,38,45,,32,42,43,33,,29,,58,64,69,63,50,49,43,45
20250211,0,PM2.5,33,35,37,,,,34,25,31,35,36,44,39,34,41,41,48,51,39,,,38,41,38,40,43,37,36,39,41,27,30,48,,,,63,,,60,69,57,,,,59,,27,36,31,29,29,36,29,29,42,,,,36,47,,55,57,58,61,68,,73,69,63,68,67,,29,29,,43,,90,80,,49,55,,38,44,48,,43,36,50,45,20,20,24,,,17,23,23,35,31,26,29,,41,,,43,,26,28,,21,29,30,23,,20,,41,46,50,45,35,34,30,30
20250211,0,PM2.5_24h,32,35,36,,,,34,31,33,32,33,34,35,34,36,32,35,38,36,,,41,43,41,44,43,38,40,39,37,36,34,45,,,,55,,,50,49,44,,,,57,,33,44,37,35,41,39,37,35,53,,,,45,53,,50,51,53,56,59,,62,51,45,50,55,,37,37,,47,,55,51,,42,42,,44,38,45,,38,44,41,35,29,37,32,,,32,36,34,38,37,29,34,,40,,,49,,36,40,,29,35,35,26,,23,,36,38,39,39,37,34,27,25
20250211,0,PM10,46,49,44,,,,51,42,42,41,57,63,66,56,56,65,70,64,61,,,47,55,52,47,56,57,44,,56,35,41,56,,,,83,,,90,97,75,,,,92,,44,42,52,36,44,41,41,53,68,,,,55,69,,66,84,81,73,81,,91,78,88,80,71,,48,49,,51,,112,105,,63,77,,80,59,65,,53,47,69,64,27,27,36,,,24,32,31,45,43,43,42,,60,,,60,,35,45,,32,36,40,31,,22,,63,67,71,59,45,37,42,45
20250211,0,PM10_24h,51,52,49,,,,57,51,49,48,51,55,59,53,54,57,58,60,56,,,55,61,55,60,57,58,53,49,55,46,49,63,,,,72,,,76,76,69,,,,80,,51,62,62,47,56,50,51,59,80,,,,61,73,,72,74,76,70,78,,78,67,65,60,78,,53,57,,58,,71,70,,57,62,,74,51,59,,50,58,59,51,49,51,53,,,42,51,50,49,49,42,49,,58,,,66,,48,55,,44,43,46,34,,31,,52,58,59,49,52,36,39,34
20250211,0,SO2,6,7,8,,,,9,6,6,6,8,7,3,5,6,10,9,6,8,,,9,7,6,8,7,9,5,4,5,5,2,7,,,,11,,,14,9,13,,,,10,,10,8,5,9,8,3,5,8,11,,,,5,8,,8,11,6,7,8,,10,7,9,8,7,,6,3,,5,,6,6,,7,7,,9,7,8,,8,6,7,5,6,4,7,,,5,7,8,6,6,6,8,,7,,,9,,5,8,,3,4,3,4,,4,,5,6,4,6,2,5,8,6
20250211,0,SO2_24h,8,8,10,,,,10,8,8,7,6,7,4,4,6,9,9,5,7,,,10,9,7,9,8,9,8,8,9,8,5,10,,,,9,,,12,8,12,,,,6,,10,9,8,9,8,5,6,9,10,,,,9,9,,8,8,6,9,11,,12,8,10,10,9,,7,4,,6,,6,4,,8,8,,10,7,9,,8,7,7,6,7,4,9,,,5,8,8,7,6,8,9,,7,,,10,,7,9,,5,4,3,5,,4,,4,6,4,7,2,5,7,5
20250211,0,NO2,29,31,46,,,,28,49,34,36,28,28,10,20,20,24,25,28,20,,,28,26,25,29,27,34,20,21,26,18,20,16,,,,39,,,38,30,35,,,,81,,30,36,41,32,42,46,41,38,67,,,,33,55,,78,74,64,26,23,,31,24,24,26,30,,13,15,,17,,55,42,,29,26,,54,29,46,,35,20,31,35,19,18,23,,,11,21,20,28,17,41,15,,33,,,29,,25,20,,21,19,27,32,,23,,46,55,37,47,42,10,12,13
20250211,0,NO2_24h,33,33,44,,,,35,49,38,40,37,33,22,30,28,10,33,33,28,,,31,31,30,37,28,41,31,32,30,29,31,20,,,,30,,,30,24,33,,,,45,,31,55,45,39,55,52,45,47,57,,,,40,52,,58,46,43,30,30,,34,40,40,31,44,,21,27,,22,,36,25,,38,32,,34,30,41,,40,32,34,36,34,24,30,,,17,29,30,22,19,23,18,,28,,,37,,37,29,,21,24,22,21,,20,,36,39,26,28,29,18,15,13
20250211,0,O3,76,66,69,,,,75,55,77,73,81,71,86,80,76,84,81,83,75,,,64,62,66,66,64,60,76,77,67,76,76,74,,,,49,,,43,54,60,,,,11,,62,50,53,68,47,47,54,48,33,,,,57,33,,11,10,18,59,57,,55,61,60,65,50,,96,89,,89,,25,43,,61,50,,39,54,42,,60,66,47,44,78,75,64,,,81,71,77,61,82,55,78,,49,,,60,,60,63,,62,73,52,40,,47,,46,34,36,26,31,92,98,98
20250211,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250211,0,O3_8h,80,75,79,,,,76,86,84,82,86,76,93,85,84,94,79,88,91,,,89,87,90,92,87,84,79,79,77,72,76,90,,,,86,,,87,88,94,,,,82,,92,70,82,95,72,76,86,74,86,,,,94,80,,80,86,87,86,82,,86,76,78,80,75,,94,90,,96,,85,86,,76,84,,84,83,79,,80,92,72,83,77,92,80,,,103,85,86,96,106,106,96,,82,,,89,,99,97,,102,97,97,87,,86,,80,82,77,78,73,77,88,82
20250211,0,O3_8h_24h,79,70,71,,,,76,69,80,79,84,74,92,84,82,92,79,87,89,,,74,71,72,75,72,67,79,79,76,72,76,78,,,,68,,,64,72,69,,,,46,,75,46,67,81,47,59,66,51,49,,,,76,47,,29,51,53,67,63,,65,61,58,67,55,,93,87,,93,,50,64,,70,78,,69,77,71,,72,82,63,69,73,84,76,,,96,80,82,87,97,92,89,,62,,,79,,76,76,,85,84,78,63,,66,,64,61,56,59,55,72,88,79
20250211,0,CO,0.5,0.6,0.5,,,,0.6,0.6,0.7,0.7,0.5,0.7,0.5,0.5,0.6,0.6,0.5,0.7,0.6,,,0.7,0.6,0.5,0.7,0.6,0.6,0.7,0.5,0.4,0.4,0.4,0.9,,,,1.2,,,1,0.9,0.8,,,,1.2,,0.5,0.5,0.8,0.5,0.9,0.6,0.6,0.8,1.1,,,,0.4,0.8,,1.2,1,1,0.9,0.8,,1.2,0.8,1,0.9,0.7,,0.4,0.6,,0.4,,1.1,0.8,,0.6,0.5,,0.6,0.8,0.5,,0.7,0.5,0.7,0.7,0.3,0.3,0.4,,,0.5,0.2,0.6,0.4,0.4,0.4,0.5,,0.6,,,0.5,,0.3,0.6,,0.6,0.5,0.5,0.7,,0.6,,0.6,0.5,0.8,0.5,0.7,0.6,0.6,0.6
20250211,0,CO_24h,0.6,0.7,0.6,,,,0.8,0.7,0.8,0.7,0.5,0.7,0.5,0.5,0.7,0.7,0.5,0.7,0.5,,,0.8,0.7,0.6,0.8,0.7,0.7,0.9,0.7,0.6,0.6,0.6,1,,,,0.7,,,0.8,0.7,0.7,,,,0.7,,0.6,0.7,0.9,0.6,1.1,0.8,0.8,0.9,0.9,,,,0.6,0.9,,0.8,0.7,0.8,1,0.9,,1.3,0.8,1,0.8,0.8,,0.5,0.6,,0.5,,0.6,0.5,,0.6,0.7,,0.7,0.9,0.6,,0.8,0.7,0.7,0.6,0.5,0.5,0.6,,,0.7,0.7,0.8,0.5,0.5,0.5,0.5,,0.7,,,0.6,,0.5,0.8,,0.7,0.6,0.6,0.7,,0.6,,0.6,0.5,0.7,0.5,0.7,0.6,0.5,0.5
20250211,1,AQI,42,40,42,,,,43,31,42,34,52,58,58,49,52,55,62,53,54,,,55,58,55,57,63,54,69,57,55,40,48,64,,,,89,,,82,85,79,,,,74,,35,52,50,36,52,52,45,58,63,,,,52,67,,70,74,74,79,77,,94,108,99,104,93,,52,52,,63,,108,107,,72,77,,63,65,70,,64,53,69,62,25,30,35,,,25,35,33,52,53,43,43,,59,,,59,,40,46,,33,46,42,30,,26,,59,63,63,55,46,43,42,42
20250211,1,PM2.5,29,28,29,,,,28,20,29,21,36,41,41,34,36,36,41,36,36,,,39,41,39,40,45,38,50,40,39,28,33,46,,,,66,,,60,63,58,,,,54,,24,36,29,24,36,36,31,41,45,,,,28,48,,51,54,54,58,56,,70,81,74,78,69,,29,36,,45,,81,80,,52,56,,39,47,51,,46,37,50,44,15,21,24,,,16,24,23,36,37,27,30,,42,,,42,,28,32,,22,32,29,21,,18,,42,45,45,39,32,30,29,28
20250211,1,PM2.5_24h,32,34,36,,,,34,31,33,31,34,35,35,34,36,33,35,38,36,,,41,42,41,43,43,38,40,40,37,36,35,45,,,,54,,,49,49,44,,,,57,,33,43,36,34,41,38,37,35,52,,,,44,52,,50,52,54,56,59,,63,52,46,51,55,,37,38,,47,,56,52,,43,44,,44,39,45,,39,44,42,36,28,36,32,,,31,36,33,38,37,28,34,,40,,,49,,36,39,,29,35,34,26,,23,,36,38,39,39,37,35,28,26
20250211,1,PM10,38,39,39,,,,43,31,37,34,48,56,63,48,53,60,74,55,58,,,47,55,53,47,57,58,60,50,59,36,42,53,,,,80,,,90,95,83,,,,83,,34,48,50,36,46,46,41,56,62,,,,54,68,,62,78,74,68,73,,86,95,100,88,71,,53,48,,49,,92,105,,66,79,,75,62,69,,56,48,72,64,22,27,34,,,22,32,31,48,52,43,43,,56,,,58,,38,46,,33,40,37,29,,21,,66,67,65,50,42,32,39,42
20250211,1,PM10_24h,51,52,49,,,,57,49,48,47,51,55,60,53,54,57,58,60,57,,,55,60,55,59,57,58,54,49,55,46,49,62,,,,72,,,76,77,69,,,,81,,50,61,61,47,56,49,51,58,80,,,,61,72,,72,76,76,70,79,,79,68,66,61,77,,54,57,,58,,72,72,,57,64,,75,52,60,,51,58,60,52,48,48,52,,,41,50,48,49,49,42,49,,58,,,65,,48,55,,43,43,45,34,,30,,53,58,60,50,52,37,40,35
20250211,1,SO2,6,6,8,,,,9,7,6,6,7,6,3,4,6,9,9,5,8,,,9,7,6,8,7,9,5,4,6,5,2,6,,,,9,,,12,9,14,,,,6,,10,8,5,9,7,4,5,8,10,,,,5,8,,7,12,6,7,8,,10,8,9,9,6,,7,4,,5,,6,7,,7,7,,9,6,8,,8,6,6,5,6,4,7,,,5,7,8,6,6,6,8,,7,,,8,,6,8,,4,4,3,4,,4,,5,6,4,7,2,6,8,6
20250211,1,SO2_24h,8,8,9,,,,10,8,8,7,6,7,4,4,6,9,9,5,7,,,10,8,7,9,8,9,8,8,9,8,5,10,,,,9,,,12,8,12,,,,6,,10,9,7,9,8,4,6,9,10,,,,9,9,,8,9,6,9,11,,12,8,10,10,9,,7,4,,6,,6,4,,8,8,,10,7,9,,8,7,7,6,7,4,9,,,5,8,8,7,6,7,9,,7,,,10,,7,9,,5,4,3,5,,4,,4,6,4,7,2,5,7,5
20250211,1,NO2,26,24,47,,,,25,39,40,35,26,27,6,18,17,23,25,24,20,,,26,23,25,29,26,31,23,22,21,21,18,16,,,,40,,,33,33,37,,,,66,,31,29,35,35,44,38,37,48,58,,,,28,52,,66,60,62,25,22,,29,25,24,31,27,,13,14,,16,,43,42,,30,26,,72,27,53,,36,27,33,32,19,13,26,,,10,20,15,31,23,29,20,,33,,,31,,22,19,,17,29,22,23,,22,,48,44,31,36,28,10,12,13
20250211,1,NO2_24h,33,33,44,,,,34,47,38,40,35,32,20,28,27,11,32,32,27,,,30,29,29,35,27,40,31,32,30,29,31,20,,,,30,,,30,24,33,,,,47,,31,52,44,39,54,50,43,47,57,,,,40,51,,59,47,44,31,30,,34,40,38,31,43,,20,26,,22,,37,26,,37,31,,35,30,41,,39,32,34,36,33,23,28,,,17,28,28,23,19,23,17,,28,,,35,,35,28,,21,24,22,21,,20,,35,38,27,28,29,18,15,13
20250211,1,O3,78,69,64,,,,75,64,69,71,75,64,82,77,74,81,73,82,72,,,63,62,62,62,63,60,66,72,69,68,75,75,,,,45,,,45,47,52,,,,21,,59,56,58,62,42,54,56,29,37,,,,60,34,,18,17,22,57,53,,53,59,59,58,53,,92,88,,89,,33,38,,54,41,,17,48,28,,54,53,39,38,77,77,60,,,77,70,81,53,65,64,68,,46,,,54,,65,64,,73,56,57,47,,52,,42,44,42,38,46,93,98,97
20250211,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250211,1,O3_8h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250211,1,O3_8h_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250211,1,CO,0.5,0.6,0.5,,,,0.6,0.5,0.7,0.7,0.4,0.7,0.5,0.4,0.6,0.6,0.5,0.6,0.5,,,0.7,0.6,0.5,0.7,0.6,0.6,0.7,0.5,0.4,0.4,0.4,0.9,,,,1.2,,,0.9,0.9,0.8,,,,0.8,,0.5,0.4,0.8,0.5,0.9,0.6,0.6,0.9,0.8,,,,0.4,0.7,,1,0.9,0.8,0.9,0.8,,1.2,0.9,0.9,0.9,0.7,,0.4,0.6,,0.5,,1,1,,0.6,0.5,,0.6,0.8,0.5,,0.7,0.6,0.7,0.6,0.3,0.3,0.4,,,0.5,0.3,0.6,0.4,0.4,0.4,0.5,,0.6,,,0.5,,0.3,0.6,,0.6,0.6,0.5,0.6,,0.5,,0.6,0.5,0.7,0.5,0.7,0.6,0.6,0.6
20250211,1,CO_24h,0.6,0.7,0.6,,,,0.8,0.7,0.8,0.7,0.5,0.7,0.5,0.5,0.7,0.7,0.5,0.7,0.5,,,0.8,0.7,0.6,0.8,0.7,0.7,0.9,0.7,0.6,0.6,0.6,1,,,,0.7,,,0.8,0.7,0.7,,,,0.7,,0.6,0.7,0.9,0.6,1.1,0.8,0.8,0.9,0.9,,,,0.5,0.9,,0.9,0.7,0.8,1,0.9,,1.3,0.8,1,0.8,0.8,,0.5,0.6,,0.5,,0.7,0.5,,0.6,0.7,,0.7,0.9,0.6,,0.8,0.7,0.7,0.6,0.5,0.5,0.6,,,0.7,0.7,0.8,0.5,0.5,0.5,0.5,,0.7,,,0.6,,0.4,0.8,,0.7,0.6,0.6,0.7,,0.6,,0.6,0.5,0.7,0.5,0.7,0.6,0.5,0.5
20250211,2,AQI,33,42,43,,,,37,28,36,35,45,52,53,49,51,53,59,52,55,,,57,59,57,58,65,54,57,58,55,40,48,62,,,,93,,,89,97,87,,,,68,,39,55,51,36,55,55,42,51,57,,,,52,60,,69,67,68,79,79,,92,93,89,104,87,,52,55,,62,,112,104,,75,75,,62,67,75,,65,54,72,64,26,33,33,,,25,33,32,49,50,43,50,,64,,,63,,38,45,,32,46,40,29,,25,,60,64,59,55,49,39,39,38
20250211,2,PM2.5,21,29,30,,,,23,19,25,24,31,36,36,34,34,31,34,36,39,,,40,42,40,41,47,38,40,41,39,28,33,44,,,,69,,,66,72,64,,,,49,,27,39,34,24,39,39,29,34,40,,,,30,43,,50,48,49,58,58,,68,69,66,78,64,,36,39,,44,,84,78,,55,55,,41,48,55,,47,38,52,46,12,23,23,,,16,23,22,34,35,27,35,,46,,,45,,26,31,,21,32,28,20,,17,,43,46,42,39,34,27,27,26
20250211,2,PM2.5_24h,32,34,36,,,,34,30,33,31,34,35,36,35,36,33,35,39,36,,,41,42,40,43,43,38,41,40,38,36,35,45,,,,54,,,50,49,44,,,,58,,32,43,36,34,41,38,36,34,52,,,,43,52,,51,53,54,56,60,,63,53,47,53,54,,37,38,,47,,58,53,,44,45,,44,40,46,,40,44,42,37,27,35,32,,,30,35,32,37,37,28,33,,40,,,47,,36,39,,28,35,34,26,,22,,36,39,40,39,38,35,28,26
