date,hour,type,1141A,1142A,1143A,1147A,1148A,1149A,1150A,1151A,1152A,1153A,1154A,1155A,1156A,1157A,1158A,1159A,1162A,1163A,1164A,1165A,1166A,1167A,1168A,1169A,1170A,1171A,1172A,1173A,1180A,1181A,1182A,1188A,1189A,1191A,1192A,1193A,1194A,1195A,1196A,1200A,1201A,1203A,1204A,1205A,1206A,1215A,1216A,1218A,1220A,1221A,1223A,1224A,1226A,1227A,1228A,1230A,1231A,1232A,1233A,1235A,1236A,1239A,1240A,1241A,1242A,1243A,1244A,1245A,1247A,1250A,1252A,1253A,1255A,1256A,1257A,1258A,1260A,1262A,1263A,1264A,1265A,1266A,1267A,1268A,1269A
20250211,23,AQI,25.0,31.0,25.0,27.0,25.0,27.0,23.0,55.0,58.0,67.0,62.0,58.0,62.0,54.0,55.0,58.0,38.0,38.0,36.0,40.0,32.0,34.0,25.0,36.0,29.0,26.0,29.0,32.0,103.0,120.0,92.0,32.0,32.0,32.0,35.0,39.0,39.0,34.0,59.0,45.0,54.0,54.0,62.0,63.0,58.0,55.0,50.0,55.0,114.0,108.0,107.0,88.0,122.0,75.0,98.0,100.0,107.0,108.0,79.0,36.0,27.0,23.0,32.0,36.0,54.0,55.0,53.0,62.0,84.0,68.0,27.0,30.0,36.0,49.0,54.0,27.0,22.0,108.0,69.0,72.0,70.0,67.0,20.0,29.0,15.0
20250211,23,PM2.5,11.0,18.0,15.0,14.0,15.0,17.0,16.0,39.0,41.0,48.0,44.0,41.0,44.0,38.0,39.0,41.0,26.0,25.0,23.0,28.0,20.0,20.0,17.0,20.0,19.0,18.0,19.0,22.0,77.0,91.0,68.0,22.0,22.0,22.0,24.0,27.0,27.0,22.0,38.0,28.0,33.0,38.0,44.0,45.0,41.0,39.0,34.0,39.0,86.0,81.0,80.0,65.0,92.0,55.0,73.0,75.0,80.0,81.0,58.0,21.0,15.0,15.0,22.0,20.0,37.0,39.0,36.0,34.0,62.0,49.0,16.0,21.0,20.0,32.0,38.0,13.0,12.0,81.0,50.0,52.0,51.0,48.0,14.0,20.0,3.0
20250211,23,PM2.5_24h,16.0,20.0,19.0,18.0,15.0,17.0,16.0,31.0,35.0,38.0,36.0,36.0,32.0,37.0,36.0,36.0,28.0,27.0,26.0,28.0,27.0,24.0,22.0,23.0,22.0,24.0,19.0,31.0,72.0,81.0,68.0,19.0,28.0,19.0,26.0,24.0,23.0,24.0,37.0,28.0,36.0,42.0,46.0,48.0,42.0,27.0,25.0,31.0,82.0,77.0,68.0,64.0,54.0,57.0,69.0,59.0,50.0,61.0,58.0,18.0,18.0,13.0,18.0,20.0,34.0,32.0,28.0,29.0,48.0,44.0,18.0,22.0,22.0,28.0,31.0,13.0,13.0,45.0,45.0,46.0,44.0,40.0,16.0,17.0,15.0
20250211,23,PM10,25.0,31.0,25.0,27.0,25.0,27.0,23.0,50.0,51.0,58.0,48.0,48.0,53.0,54.0,56.0,46.0,37.0,38.0,36.0,40.0,32.0,34.0,19.0,36.0,29.0,22.0,25.0,27.0,98.0,100.0,85.0,22.0,32.0,27.0,34.0,29.0,29.0,34.0,67.0,45.0,58.0,42.0,48.0,51.0,44.0,44.0,50.0,45.0,106.0,83.0,101.0,93.0,114.0,68.0,112.0,101.0,117.0,123.0,77.0,36.0,27.0,21.0,31.0,36.0,58.0,59.0,55.0,73.0,95.0,60.0,27.0,30.0,36.0,49.0,58.0,27.0,22.0,110.0,81.0,79.0,70.0,67.0,16.0,29.0,10.0
20250211,23,PM10_24h,26.0,32.0,23.0,31.0,23.0,25.0,23.0,45.0,52.0,55.0,48.0,49.0,49.0,57.0,54.0,49.0,36.0,39.0,37.0,39.0,37.0,38.0,31.0,34.0,35.0,29.0,30.0,44.0,97.0,110.0,101.0,33.0,40.0,28.0,36.0,32.0,33.0,41.0,59.0,47.0,57.0,56.0,59.0,63.0,51.0,40.0,44.0,44.0,104.0,98.0,83.0,83.0,78.0,76.0,93.0,75.0,69.0,96.0,77.0,27.0,24.0,17.0,26.0,30.0,52.0,46.0,43.0,48.0,71.0,56.0,30.0,36.0,36.0,39.0,44.0,20.0,18.0,72.0,70.0,66.0,55.0,55.0,23.0,24.0,22.0
20250211,23,SO2,6.0,6.0,8.0,9.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,3.0,6.0,9.0,6.0,5.0,7.0,6.0,8.0,6.0,4.0,6.0,5.0,3.0,6.0,9.0,5.0,9.0,8.0,5.0,7.0,5.0,2.0,4.0,5.0,7.0,7.0,6.0,4.0,9.0,3.0,8.0,6.0,3.0,2.0,3.0,2.0,7.0,6.0,9.0,6.0,8.0,7.0,6.0,7.0,5.0,5.0,5.0,5.0,8.0,7.0,6.0,4.0,6.0,7.0,7.0,7.0,5.0,6.0,3.0,4.0,3.0,5.0,4.0,6.0,6.0,6.0,8.0,1.0,4.0,5.0,4.0
20250211,23,SO2_24h,6.0,6.0,7.0,9.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,8.0,7.0,4.0,7.0,9.0,7.0,6.0,8.0,7.0,8.0,6.0,5.0,6.0,5.0,3.0,7.0,11.0,7.0,11.0,9.0,6.0,8.0,6.0,3.0,5.0,7.0,9.0,7.0,7.0,6.0,9.0,5.0,8.0,6.0,3.0,3.0,4.0,3.0,7.0,6.0,9.0,6.0,8.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,7.0,7.0,7.0,6.0,7.0,8.0,6.0,8.0,5.0,7.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,8.0,2.0,4.0,6.0,5.0
20250211,23,NO2,23.0,30.0,27.0,26.0,26.0,25.0,26.0,55.0,54.0,35.0,49.0,33.0,49.0,24.0,53.0,50.0,34.0,25.0,36.0,43.0,22.0,29.0,38.0,35.0,31.0,48.0,57.0,18.0,38.0,47.0,47.0,29.0,50.0,30.0,52.0,62.0,44.0,45.0,41.0,21.0,32.0,37.0,28.0,32.0,40.0,30.0,30.0,27.0,46.0,51.0,73.0,49.0,91.0,42.0,71.0,80.0,78.0,52.0,42.0,14.0,19.0,10.0,18.0,19.0,30.0,32.0,33.0,19.0,69.0,60.0,25.0,21.0,15.0,22.0,32.0,25.0,26.0,53.0,68.0,37.0,63.0,70.0,12.0,17.0,14.0
20250211,23,NO2_24h,24.0,26.0,28.0,24.0,26.0,26.0,24.0,36.0,33.0,13.0,27.0,21.0,34.0,29.0,33.0,25.0,26.0,21.0,24.0,30.0,21.0,27.0,29.0,32.0,30.0,29.0,31.0,14.0,35.0,39.0,47.0,24.0,39.0,29.0,41.0,40.0,33.0,34.0,46.0,26.0,38.0,42.0,39.0,39.0,28.0,18.0,20.0,17.0,38.0,37.0,56.0,41.0,73.0,38.0,61.0,58.0,53.0,49.0,40.0,19.0,15.0,10.0,20.0,21.0,29.0,27.0,35.0,21.0,50.0,36.0,25.0,20.0,25.0,33.0,30.0,20.0,20.0,47.0,48.0,28.0,30.0,30.0,11.0,12.0,12.0
20250211,23,O3,62.0,43.0,64.0,56.0,54.0,65.0,60.0,19.0,12.0,22.0,15.0,15.0,22.0,35.0,17.0,9.0,35.0,37.0,29.0,30.0,47.0,41.0,15.0,38.0,45.0,21.0,11.0,48.0,17.0,3.0,13.0,34.0,20.0,43.0,19.0,15.0,28.0,22.0,32.0,46.0,32.0,31.0,34.0,37.0,19.0,33.0,30.0,37.0,9.0,4.0,3.0,3.0,2.0,8.0,2.0,3.0,3.0,4.0,13.0,71.0,57.0,72.0,68.0,69.0,35.0,34.0,36.0,45.0,3.0,9.0,44.0,44.0,69.0,58.0,39.0,49.0,50.0,17.0,7.0,24.0,7.0,1.0,58.0,55.0,46.0
20250211,23,O3_8h,75.0,65.0,81.0,71.0,82.0,83.0,82.0,61.0,50.0,63.0,59.0,55.0,64.0,56.0,62.0,61.0,66.0,66.0,66.0,64.0,69.0,67.0,61.0,62.0,62.0,58.0,63.0,86.0,49.0,46.0,52.0,69.0,55.0,73.0,58.0,62.0,66.0,58.0,58.0,68.0,58.0,57.0,42.0,61.0,63.0,80.0,75.0,80.0,48.0,51.0,31.0,34.0,30.0,35.0,19.0,36.0,34.0,28.0,30.0,75.0,81.0,90.0,78.0,74.0,63.0,68.0,60.0,66.0,36.0,57.0,68.0,72.0,68.0,59.0,59.0,78.0,77.0,57.0,57.0,69.0,74.0,71.0,85.0,81.0,82.0
20250211,23,O3_8h_24h,69.0,54.0,72.0,64.0,65.0,68.0,60.0,40.0,28.0,45.0,36.0,31.0,47.0,37.0,40.0,41.0,51.0,52.0,48.0,48.0,57.0,53.0,38.0,39.0,47.0,40.0,37.0,63.0,30.0,22.0,22.0,54.0,31.0,59.0,36.0,33.0,49.0,36.0,43.0,57.0,43.0,40.0,33.0,46.0,36.0,53.0,47.0,56.0,17.0,24.0,5.0,17.0,9.0,15.0,4.0,9.0,6.0,5.0,18.0,74.0,73.0,82.0,66.0,72.0,50.0,51.0,45.0,58.0,10.0,27.0,44.0,48.0,54.0,50.0,45.0,56.0,62.0,32.0,31.0,32.0,45.0,43.0,68.0,73.0,72.0
20250211,23,CO,0.5,0.6,0.4,0.6,0.5,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.4,0.8,0.6,0.8,0.7,0.5,0.7,0.5,0.6,0.5,0.4,0.3,0.3,0.5,0.7,0.9,1.3,0.9,0.6,0.3,0.6,1.0,0.6,0.7,0.9,0.6,0.5,1.1,0.6,0.6,0.5,0.8,0.5,0.6,0.4,1.0,0.7,1.1,0.8,1.4,0.7,1.1,1.3,1.4,1.0,0.7,0.4,0.5,0.5,0.4,0.7,0.4,0.5,0.5,0.5,1.2,0.8,0.2,0.5,0.6,0.6,0.6,0.6,0.5,1.0,0.6,0.5,0.7,0.8,0.7,0.6,0.6
